   2003.49,  52188.44
   2008.92, 529221.06
   2023.04,1958635.38
   2038.63,3264761.75
   2069.44,3387235.25
   2075.65, 108671.79
   2084.59, 386041.28
   2089.31, 313165.81
   2107.70, 610356.38
   2126.09, 278010.56
   2171.63,1117693.25
   2199.56,272756512.00
   2209.62,18426206.00
   2222.09,7112095.50
   2238.08,65478488.00
   2287.65,271104672.00
   2305.88,255897856.00
   2326.42,46924448.00
   2344.44,36212904.00
   2364.71,1826539.50
   2382.37,1834247.75
   2402.80, 846811.50
   2420.67, 160786.33
   2433.14,  33772.09
   2455.57, 116699.22
   2476.99, 567990.81
   2495.66, 159432.42
   2516.12, 538561.88
   2546.56,13874680.00
   2580.68, 150506.08
   2583.34, 105850.12
   2607.68, 257025.45
   2620.23, 539099.56
   2635.43,185914640.00
   2650.52,6380181.50
   2657.54,3252610.50
   2673.85,33599784.00
   2695.73, 642547.75
   2712.09,2834605.75
   2734.12, 249548.11
   2750.12, 439249.91
   2777.28,1923591.12
   2788.10,  32351.88
   2806.71, 448857.12
   2827.78, 437909.66
   2878.49, 332471.03
   2908.61,1391105.88
   2921.06,  47314.10
   3009.04,18696672.00
   3037.12,243000176.00
   3052.98,31119818.00
   3069.39,2625051.50
   3075.53,32742254.00
   3113.35,2099830.75
   3151.31, 167332.39
   3174.13, 462365.97
   3194.41,  24845.02
   3210.18, 201914.41
   3225.21, 606459.12
   3276.27,  17210.00
   3320.21, 246503.92
   3336.37, 229780.05
   3421.32, 281600.94
   3444.57,1153833.62
   3462.79,  29572.01
   3477.43,  49219.54
   3494.14,  10248.58
   3582.86,  74535.60
   3638.92, 148675.58
   3677.32,  87695.69
   3693.23,   3433.29
   3708.08,  37366.43
   3767.31,  51114.36
   3816.73,  70834.08
   3833.96, 133671.41
   3876.82,1279015.50
   3896.05, 312192.34
   3982.43,  58197.27
   4175.60, 256335.64
   4306.47,11999302.00
   4322.70, 240851.28
   4344.48, 633926.62
   4381.67,  44818.48
   4485.57,1044594.38
   4497.91, 928607.00
   4525.27,4408375.50
   4546.35, 104150.28
   4563.83, 590507.50
   4702.66,  38607.49
   4721.78,  46169.55
   4793.67,  22792.66
   4814.84, 177320.89
   4823.16,  66242.38
   4847.73,  18706.58
   5032.97,21379708.00
   5054.66, 651288.75
   5071.18,2703614.50
   5109.64,  72870.02
   5149.00,  38529.60
   5164.27,1004585.75
   5203.51,  13077.37
   5303.91,11856031.00
   5323.23, 212699.14
   5341.82, 450017.34
   5555.70,47702984.00
   5577.15,1526300.62
   5593.71,5675298.50
   5631.29,  91337.44
   5686.15,  87636.06
   5846.25, 133343.42
   5875.14, 333092.66
   5935.44,  50505.32
   5952.64,  18492.37
   6007.30,  57050.04
   6088.70,  84233.25
   6354.92,1754821.38
   6398.21, 673299.25
   6423.39, 273946.28
   6553.17,2265591.75
   6574.52, 104875.50
   6591.41, 207496.56
   6843.37, 930943.44
   6889.53,17095402.00
   6912.54, 108746.20
   6927.36,1676311.75
   7020.90,  28943.54
   7527.48, 377771.12
   7566.37,  88849.70
   7734.15,  61678.71
   8893.33,   8011.28
   9188.06,   4877.06
   9628.86,  77900.90
